,player_id,bowler,line,length,runs_conceded,ball_bowled,dismissals,economy,bowling_strike_rate,bowling_average
517,1081442,Mayank Markande,OUTSIDE_OFFSTUMP,GOOD_LENGTH,249,216,17,6.92,12.71,14.65
518,1108375,Varun Chakravarthy,OUTSIDE_OFFSTUMP,FULL,355,216,15,9.86,14.4,23.67
519,308798,D'Arcy Short,ON_THE_STUMPS,GOOD_LENGTH,272,216,15,7.56,14.4,18.13
520,906783,Obed McCoy,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,238,215,13,6.64,16.54,18.31
521,299572,Sikandar Raza,OUTSIDE_OFFSTUMP,FULL,316,215,7,8.82,30.71,45.14
522,917159,Prasidh Krishna,OUTSIDE_OFFSTUMP,GOOD_LENGTH,265,215,15,7.4,14.33,17.67
523,552152,Dushmantha Chameera,ON_THE_STUMPS,GOOD_LENGTH,235,214,12,6.59,17.83,19.58
524,489889,Pat Cummins,ON_THE_STUMPS,GOOD_LENGTH,290,214,14,8.13,15.29,20.71
525,827051,Blessing Muzarabani,OUTSIDE_OFFSTUMP,GOOD_LENGTH,189,214,8,5.3,26.75,23.62
526,348049,Nasum Ahmed,ON_THE_STUMPS,FULL,280,214,8,7.85,26.75,35.0
527,5961,Moises Henriques,OUTSIDE_OFFSTUMP,GOOD_LENGTH,243,214,9,6.81,23.78,27.0
528,1138316,Maheesh Theekshana,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,257,213,8,7.24,26.62,32.12
529,526441,Mark Adair,OUTSIDE_OFFSTUMP,GOOD_LENGTH,204,213,13,5.75,16.38,15.69
530,550133,Mosaddek Hossain,ON_THE_STUMPS,GOOD_LENGTH,252,213,8,7.1,26.62,31.5
531,669855,Jofra Archer,OUTSIDE_OFFSTUMP,SHORT,314,213,17,8.85,12.53,18.47
532,475281,Shardul Thakur,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,268,213,9,7.55,23.67,29.78
533,669855,Jofra Archer,ON_THE_STUMPS,GOOD_LENGTH,247,213,12,6.96,17.75,20.58
534,379504,Adam Zampa,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,253,213,7,7.13,30.43,36.14
535,299572,Sikandar Raza,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,276,212,8,7.81,26.5,34.5
536,272262,Kane Richardson,OUTSIDE_OFFSTUMP,FULL,359,212,10,10.16,21.2,35.9
537,1108375,Varun Chakravarthy,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,289,212,4,8.18,53.0,72.25
538,675945,Nahidul Islam,OUTSIDE_OFFSTUMP,GOOD_LENGTH,219,212,14,6.2,15.14,15.64
539,429981,Mohammad Irfan,ON_THE_STUMPS,GOOD_LENGTH,198,212,10,5.6,21.2,19.8
540,8917,Moeen Ali,OUTSIDE_OFFSTUMP,FULL,308,212,11,8.72,19.27,28.0
541,922943,Shadab Khan,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,312,212,13,8.83,16.31,24.0
542,774223,Jhye Richardson,ON_THE_STUMPS,GOOD_LENGTH,231,212,14,6.54,15.14,16.5
