,player_id,batsman,line,length,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
477,230193,Matthew Wade,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,363,239,13,27.92,151.88,Australia
478,53116,Lendl Simmons,ON_THE_STUMPS,FULL,331,238,13,25.46,139.08,West Indies
479,662973,Sam Curran,ON_THE_STUMPS,GOOD_LENGTH,273,238,12,22.75,114.71,England
480,299572,Sikandar Raza,ON_THE_STUMPS,GOOD_LENGTH,220,238,19,11.58,92.44,Zimbabwe
481,921509,Ibrahim Zadran,OUTSIDE_OFFSTUMP,GOOD_LENGTH,210,238,6,35.0,88.24,Afghanistan
482,446763,Rahul Tripathi,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,258,238,6,43.0,108.4,India
483,33335,Suresh Raina,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,296,237,12,24.67,124.89,India
484,603410,Ben McDermott,OUTSIDE_OFFSTUMP,FULL,330,237,12,27.5,139.24,Australia
485,12454,Joe Denly,OUTSIDE_OFFSTUMP,GOOD_LENGTH,248,235,5,49.6,105.53,England
486,571761,Daniel Hughes,ON_THE_STUMPS,GOOD_LENGTH,272,235,13,20.92,115.74,Australia
487,43906,Hashim Amla,OUTSIDE_OFFSTUMP,GOOD_LENGTH,295,235,8,36.88,125.53,South Africa
488,557295,Hilton Cartwright,ON_THE_STUMPS,GOOD_LENGTH,264,235,11,24.0,112.34,Australia
489,10582,Ravi Bopara,OUTSIDE_OFFSTUMP,GOOD_LENGTH,258,235,11,23.45,109.79,England
490,436757,Heinrich Klaasen,ON_THE_STUMPS,GOOD_LENGTH,291,234,13,22.38,124.36,South Africa
491,662235,Josh Inglis,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,287,234,6,47.83,122.65,Australia
492,373538,Sabbir Rahman,ON_THE_STUMPS,GOOD_LENGTH,260,233,10,26.0,111.59,Bangladesh
493,477021,Vijay Shankar,OUTSIDE_OFFSTUMP,GOOD_LENGTH,198,233,11,18.0,84.98,India
