,player_id,batsman,shot,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate
169,232359,Colin Munro,SLOG_SHOT,667,302,39,17.1,220.86
170,323389,Mohammad Rizwan,ON_DRIVE,665,560,15,44.33,118.75
171,422108,KL Rahul,CUT_SHOT,664,494,13,51.08,134.41
172,297617,Adam Wheater,VERTICAL_FORWARD_ATTACK,663,477,23,28.83,138.99
173,51862,Andre Fletcher,ON_DRIVE,662,425,18,36.78,155.76
174,425943,Sanju Samson,PULL,662,252,18,36.78,262.7
175,820351,Rovman Powell,PULL,659,310,35,18.83,212.58
176,249866,Alex Hales,FLICK,658,539,21,31.33,122.08
177,417514,Ben Cox,VERTICAL_FORWARD_ATTACK,656,548,17,38.59,119.71
178,823509,Glenn Phillips,PULL,653,259,15,43.53,252.12
179,296597,James Vince,PULL,652,328,19,34.32,198.78
180,595739,Leus du Plooy,VERTICAL_FORWARD_ATTACK,652,471,15,43.47,138.43
181,425943,Sanju Samson,FLICK,651,575,25,26.04,113.22
182,776695,Matt Critchley,VERTICAL_FORWARD_ATTACK,651,554,28,23.25,117.51
183,720471,Ishan Kishan,PULL,645,323,23,28.04,199.69
184,325012,Marcus Stoinis,FLICK,644,535,17,37.88,120.37
185,230193,Matthew Wade,PULL,641,299,22,29.14,214.38
186,297602,Jack Taylor,VERTICAL_FORWARD_ATTACK,640,475,33,19.39,134.74
187,931581,Rishabh Pant,FLICK,635,516,18,35.28,123.06
188,931581,Rishabh Pant,PULL,634,344,14,45.29,184.3
189,44936,AB de Villiers,COVER_DRIVE,633,422,20,31.65,150.0
190,8917,Moeen Ali,PULL,632,278,15,42.13,227.34
191,520551,Arron Lilley,VERTICAL_FORWARD_ATTACK,632,470,30,21.07,134.47
192,322810,Cameron Delport,VERTICAL_FORWARD_ATTACK,628,473,26,24.15,132.77
193,333066,Johnson Charles,PULL,627,308,14,44.79,203.57
194,325012,Marcus Stoinis,COVER_DRIVE,626,461,15,41.73,135.79
195,572199,Ryan Higgins,VERTICAL_FORWARD_ATTACK,624,501,21,29.71,124.55
196,15348,James Hildreth,VERTICAL_FORWARD_ATTACK,623,477,17,36.65,130.61
197,1070173,Shubman Gill,ON_DRIVE,620,459,16,38.75,135.08
198,23506,Alex Wakely,VERTICAL_FORWARD_ATTACK,618,575,20,30.9,107.48
199,512191,Fakhar Zaman,ON_DRIVE,617,404,22,28.05,152.72
200,308967,Jos Buttler,SLOG_SHOT,616,239,35,17.6,257.74
201,277906,Kane Williamson,ON_DRIVE,616,511,22,28.0,120.55
202,670025,Shimron Hetmyer,FLICK,615,567,10,61.5,108.47
203,670025,Shimron Hetmyer,SLOG_SHOT,614,253,33,18.61,242.69
204,403902,Liam Livingstone,ON_DRIVE,614,375,13,47.23,163.73
205,670035,Brandon King,ON_DRIVE,614,349,14,43.86,175.93
206,892749,Tim David,ON_DRIVE,612,368,19,32.21,166.3
207,30045,Dinesh Karthik,PULL,612,261,14,43.71,234.48
208,230558,Sunil Narine,ON_DRIVE,611,314,31,19.71,194.59
209,17986,Steven Mullaney,VERTICAL_FORWARD_ATTACK,611,423,30,20.37,144.44
210,604302,Nicholas Pooran,FLICK,610,461,11,55.45,132.32
211,362201,Lewis Gregory,VERTICAL_FORWARD_ATTACK,610,422,16,38.12,144.55
212,42657,Shoaib Malik,PULL,609,318,24,25.38,191.51
213,1070173,Shubman Gill,PULL,608,284,12,50.67,214.08
214,51862,Andre Fletcher,FLICK,607,530,19,31.95,114.53
215,931581,Rishabh Pant,ON_DRIVE,607,361,20,30.35,168.14
216,42657,Shoaib Malik,COVER_DRIVE,606,434,15,40.4,139.63
217,529045,Jake Libby,VERTICAL_FORWARD_ATTACK,605,483,22,27.5,125.26
218,33335,Suresh Raina,FLICK,605,513,21,28.81,117.93
219,8180,Shane Watson,ON_DRIVE,603,414,23,26.22,145.65
220,333066,Johnson Charles,ON_DRIVE,602,419,21,28.67,143.68
221,820351,Rovman Powell,ON_DRIVE,599,325,21,28.52,184.31
222,536936,Litton Das,FLICK,598,472,18,33.22,126.69
223,670025,Shimron Hetmyer,ON_DRIVE,597,349,16,37.31,171.06
224,28081,MS Dhoni,PULL,596,305,22,27.09,195.41
225,308798,D'Arcy Short,ON_DRIVE,594,435,12,49.5,136.55
226,232359,Colin Munro,CUT_SHOT,593,478,16,37.06,124.06
227,331375,Hamish Rutherford,VERTICAL_FORWARD_ATTACK,593,384,19,31.21,154.43
228,277916,Ajinkya Rahane,ON_DRIVE,590,442,24,24.58,133.48
229,823509,Glenn Phillips,ON_DRIVE,590,373,26,22.69,158.18
230,408413,Rob Keogh,VERTICAL_FORWARD_ATTACK,589,470,18,32.72,125.32
231,909225,Paul Walter,VERTICAL_FORWARD_ATTACK,586,423,26,22.54,138.53
232,877051,Tom Banton,VERTICAL_FORWARD_ATTACK,584,419,23,25.39,139.38
233,298438,Jason Roy,FLICK,581,514,22,26.41,113.04
234,662973,Sam Curran,VERTICAL_FORWARD_ATTACK,581,434,19,30.58,133.87
235,8917,Moeen Ali,VERTICAL_FORWARD_ATTACK,580,355,12,48.33,163.38
236,5334,Aaron Finch,PULL,579,322,12,48.25,179.81
237,272450,Mitchell Marsh,PULL,579,237,9,64.33,244.3
238,425943,Sanju Samson,COVER_DRIVE,578,333,15,38.53,173.57
239,296597,James Vince,COVER_DRIVE,577,396,12,48.08,145.71
240,249866,Alex Hales,CUT_SHOT,577,399,23,25.09,144.61
241,296597,James Vince,FLICK,577,509,11,52.45,113.36
242,297433,Jonny Bairstow,PULL,572,252,16,35.75,226.98
243,211032,Karl Brown,VERTICAL_FORWARD_ATTACK,570,380,17,33.53,150.0
244,748793,Joe Weatherley,VERTICAL_FORWARD_ATTACK,568,422,10,56.8,134.6
245,226492,Martin Guptill,FLICK,568,522,18,31.56,108.81
246,277906,Kane Williamson,PULL,567,271,15,37.8,209.23
247,5334,Aaron Finch,SLOG_SHOT,566,226,31,18.26,250.44
248,308798,D'Arcy Short,FLICK,566,527,13,43.54,107.4
249,230558,Sunil Narine,PULL,565,286,34,16.62,197.55
250,1060380,Ruturaj Gaikwad,PULL,564,216,14,40.29,261.11
